simtime,current_action,reward,load,FM_state,packets_per_frame,QoE,frame_loss,last_mowdg,RTT,lastthreshold,quadraticsum_mowdg
12.5228,1,3.88606,3.16145e+07,7,31,4.07217,0,-0.000187111,0.00225122,1.95774e-05,1.05094e-06
12.6228,1,3.88713,3.16145e+07,7,31,4.07329,0,7.78889e-05,0.00182269,1.96603e-05,6.34368e-07
12.7228,1,3.88713,3.16145e+07,7,31,4.07329,0,-2.21112e-05,0.00180268,1.97373e-05,6.33762e-07
12.8228,1,3.88427,3.16145e+07,7,31,4.07028,0,-0.000870111,0.00165104,1.98936e-05,1.75404e-06
12.9228,1,3.83475,3.16145e+07,7,31,4.01816,0,1.18833e-05,0.00194547,2.0338e-05,2.13093e-05
13.0228,1,3.87898,3.16145e+07,7,31,4.06472,0,0.000176888,0.00168234,2.05536e-05,3.82531e-06
13.1228,1,3.88844,3.16145e+07,7,31,4.07468,0,-2.61111e-05,0.00172062,2.05936e-05,1.20184e-07
13.2228,0,3.85549,3.09822e+07,7,30,4.03999,0,0.000148889,0.00176264,2.0836e-05,1.30766e-05
13.3228,0,3.88487,3.03626e+07,7,30,4.07091,0,1.68884e-05,0.00175802,2.09821e-05,1.5191e-06
13.4228,0,3.88543,2.97553e+07,6,29,4.07414,0,-0.000166111,0.00175587,2.1048e-05,3.20664e-07
13.5228,0,3.88189,2.91602e+07,6,28,4.07041,0,-0.00053311,0.00160295,2.12018e-05,1.70414e-06
13.6228,0,3.88363,2.8577e+07,6,28,4.07224,0,-0.000417111,0.00143735,2.13283e-05,1.02368e-06
13.7228,0,3.88446,2.80055e+07,6,27,4.07311,0,-0.000446111,0.00156245,2.14243e-05,7.00495e-07
13.8228,0,3.8853,2.74454e+07,6,27,4.074,0,-0.000159111,0.00150844,2.14852e-05,3.71781e-07
13.9228,0,3.88228,2.68964e+07,6,26,4.07083,0,-4.11109e-06,0.00214419,2.16286e-05,1.55139e-06
14.0228,0,3.88557,2.63585e+07,6,26,4.07428,0,-3.91112e-05,0.00191341,2.16768e-05,2.66209e-07
14.1228,0,3.88476,2.58313e+07,6,25,4.07344,0,0.000150889,0.00245748,2.17662e-05,5.80664e-07
14.2228,0,3.86122,2.53147e+07,6,25,4.04865,0,0.000114888,0.00180308,2.20436e-05,9.8269e-06
14.3228,1,3.88526,2.53147e+07,6,25,4.07396,0,0.000247889,0.00211727,2.20883e-05,3.8765e-07
14.4228,0,3.88091,2.48084e+07,5,24,4.07201,0,-2.61115e-05,0.00166206,2.22402e-05,1.11069e-06
14.5228,0,3.8662,2.43123e+07,5,24,4.05653,0,-0.000273111,0.00175475,2.24845e-05,6.88104e-06
14.6228,0,3.88184,2.3826e+07,5,23,4.07299,0,-0.000149111,0.00145438,2.25847e-05,7.45527e-07
14.7228,0,3.88215,2.33495e+07,5,23,4.07332,0,-0.00052411,0.00200946,2.26634e-05,6.25371e-07
14.8228,0,3.88028,2.28825e+07,5,22,4.07135,0,-4.41111e-05,0.00257607,2.27948e-05,1.35645e-06
14.9228,0,3.88349,2.24249e+07,5,22,4.07472,0,5.68889e-05,0.00153365,2.28219e-05,1.02618e-07
15.0228,0,3.881,2.19764e+07,5,22,4.07211,0,0.000506889,0.00200777,2.29154e-05,1.07423e-06
15.1228,0,3.88232,2.15368e+07,5,21,4.07349,0,0.000213889,0.00140597,2.30257e-05,5.59893e-07
15.2228,0,3.88252,2.11061e+07,5,21,4.0737,0,0.000430889,0.00199876,2.30761e-05,4.81981e-07
15.3228,1,3.8826,2.11061e+07,5,21,4.07379,0,0.000146889,0.002058,2.31806e-05,4.48275e-07
15.4228,1,3.88308,2.11061e+07,5,21,4.07429,0,-0.000300111,0.00169356,2.32329e-05,2.63507e-07
15.5228,1,3.88131,2.11061e+07,5,21,4.07243,0,-7.01112e-05,0.00176862,2.33432e-05,9.55378e-07
15.6228,1,3.87092,2.11061e+07,5,21,4.06149,0,0.000424889,0.00182167,2.35558e-05,5.02815e-06
15.7228,1,3.88174,2.11061e+07,5,21,4.07288,0,1.08889e-05,0.00144599,2.36614e-05,7.87204e-07
15.8228,1,3.88341,2.11061e+07,5,21,4.07465,0,3.68888e-05,0.00186255,2.37011e-05,1.31218e-07
15.9228,1,3.88184,2.11061e+07,5,21,4.07299,0,0.000283889,0.00236676,2.38014e-05,7.46918e-07
16.0228,1,3.88216,2.11061e+07,5,21,4.07333,0,8.8889e-06,0.00154456,2.38888e-05,6.21851e-07
16.1228,1,3.87866,2.11061e+07,5,21,4.06964,0,0.00122189,0.00204833,2.39672e-05,1.99343e-06
